Reporting starts,Reporting ends,Campaign name,Campaign Delivery,Amount spent (AUD),Website purchases,Cost per purchase (AUD),Purchase ROAS (return on ad spend),Purchases conversion value,Website purchases conversion value,Ad set budget,Ad set budget type,Impressions,"CPM (cost per 1,000 impressions) (AUD)",Reach,Frequency,CTR (all),Link clicks,CPC (all) (AUD),Attribution setting,Results,Result indicator,Cost per results,Meta purchases,ThruPlays,3-second video plays,Video plays at 25%,Video plays at 50%,Video plays at 75%,Video plays at 95%,Video plays at 100%,Video average play time,Video plays,profile_visit_view,Unique link clicks,CTR (link click-through rate),Landing page views,Adds to cart,Website adds to cart,Offline adds to cart,Meta Add to Cart,Adds of payment info,Website adds of payment info,Offline adds of payment info,Checkouts Initiated,Website checkouts initiated,Offline checkouts initiated,Meta Checkouts Initiated
1/05/2022,31/05/2025,,0,41538.9,,,,,,0,0,5397325,7.696201,1384229,3.899156,1.940369,,0.396636,Multiple attribution settings,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,,,,
1/05/2022,31/05/2025,Oct23 LPviews 1%Lookalike - All Shows,inactive,4723.83,23,205.383913,0.223171,1054.22,1054.22,Using ad set budget,0,900602,5.245192,487631,1.846892,3.006211,24548,0.174478,7-day click or 1-day view,18968,actions:landing_page_view,0.24904207,,49713,67376,80544,61607,52055,48436,47523,4,109170,,16648,2.725732,18968,29,29,,,10,10,,21,21,,
1/05/2022,31/05/2025,Retargetting - All Shows OCT23,inactive,12015.97,1070,11.229879,4.374311,52561.59,52561.59,Using ad set budget,0,1194588,10.058673,237344,5.03315,1.184174,8149,0.849425,"1-day click, 1-day view, or 1-day engaged-view",1070,actions:offsite_conversion.fb_pixel_purchase,11.2298785,,17286,39298,71517,33107,22222,18086,17365,2,208098,,6844,0.68216,5456,1023,1023,,,231,231,,1087,1087,,
1/05/2022,31/05/2025,MICF: Sydney Showcase 070424,inactive,99.99,4,24.9975,0.80188,80.18,80.18,Using ad set budget,0,11000,9.09,8533,1.289113,0.445455,27,2.040612,"1-day click, 1-day view, or 1-day engaged-view",4,actions:offsite_conversion.fb_pixel_purchase,24.9975,,241,1662,1299,567,339,248,239,2,8923,,27,0.245455,28,2,2,,,,,,2,2,,
1/05/2022,31/05/2025,Retargeting - July 24,inactive,399.99,37,10.810541,5.829221,2331.63,2331.63,400,Lifetime,36510,10.955629,11650,3.133906,1.961107,404,0.558645,7-day click or 1-day view,37,actions:offsite_conversion.fb_pixel_purchase,10.81054054,,2209,4299,2202,1546,1089,923,828,11,11535,,330,1.106546,308,33,33,,,16,16,,26,26,,
1/05/2022,31/05/2025,ToneDen Campaign 672820 - Eventbrite - Magic Mic 260624,inactive,50.04,,,,,,Using ad set budget,0,5205,9.613833,4355,1.195178,2.747358,61,0.34993,7-day click or 1-day view,61,actions:link_click,0.82032787,,,,,,,,,0:00:00,,,57,1.17195,38,,,,,,,,,,,
1/05/2022,31/05/2025,Encore Festival: Retargeting - July 24,inactive,1500,120,12.5,3.828007,5742.01,5742.01,1500,Lifetime,125616,11.941154,19215,6.537393,3.783754,2387,0.31559,7-day click or 1-day view,120,actions:offsite_conversion.fb_pixel_purchase,12.5,,11569,24882,14164,10751,9003,7697,6862,9,66746,,1354,1.900236,1876,151,151,,,40,40,,83,83,,
1/05/2022,31/05/2025,Encore Festival: Reach - July 24,inactive,49.99,,,,,,50,Lifetime,22408,2.2309,22147,1.011785,0.522135,27,0.427265,7-day click or 1-day view,22147,reach,2.25719059,,1490,5167,2229,1140,832,604,512,4,20620,,27,0.120493,19,1,1,,,,,,,,,
1/05/2022,31/05/2025,Encore Festival: Traffic - July 24,inactive,419.99,6,69.998333,0.17048,71.6,71.6,420,Lifetime,53342,7.873533,27650,1.929186,11.098197,4828,0.070944,7-day click or 1-day view,4521,actions:landing_page_view,0.09289759,,7928,15873,8640,6586,5725,4999,4671,13,33849,,4044,9.051029,4521,3,3,,,1,1,,4,4,,
1/05/2022,31/05/2025,Retargetting - WEEKLY SHOWS,inactive,0,,,,,,25,Daily,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,,,,
1/05/2022,31/05/2025,Retargeting - July 24 - GoodChat + Steph,inactive,300,20,15,4.1015,1230.45,1230.45,300,Lifetime,25769,11.641895,8597,2.997441,1.854942,259,0.627615,7-day click or 1-day view,20,actions:offsite_conversion.fb_pixel_purchase,15,,1593,3198,1855,1402,1041,777,715,9,8816,,239,1.005084,206,42,42,,,5,5,,15,15,,
1/05/2022,31/05/2025,Retargeting - David Rose Aug 18th 24,inactive,100,2,50,0.54,54,54,100,Lifetime,7794,12.830382,4656,1.673969,3.913267,173,0.327869,7-day click or 1-day view,2,actions:offsite_conversion.fb_pixel_purchase,50,,1679,3060,2091,1660,1255,1073,1003,11,6900,,169,2.219656,134,6,6,,,2,2,,4,4,,
1/05/2022,31/05/2025,Retargetting - All Shows 14 Feb 25,inactive,3627.29,173,20.966994,2.653116,9623.62,9623.62,Using ad set budget,0,284340,12.756876,77982,3.646226,1.12893,1680,1.129997,"1-day click, 1-day view, or 1-day engaged-view",173,actions:offsite_conversion.fb_pixel_purchase,20.96699422,,10127,33984,58033,25283,15635,11098,10462,3,172999,,1427,0.590842,890,,,,,128,128,,103,103,,
1/05/2022,31/05/2025,Retargetting - Arcade OCT24,inactive,100,4,25,1.08,108,108,Using ad set budget,0,8372,11.944577,5583,1.499552,0.83612,36,1.428571,"1-day click, 1-day view, or 1-day engaged-view",4,actions:offsite_conversion.fb_pixel_purchase,25,,128,428,797,294,174,132,128,3,2021,,35,0.430005,26,6,6,,,2,2,,6,6,,
1/05/2022,31/05/2025,Gocsy Tour,inactive,53.85,,,,,,Using ad set budget,0,3289,16.372758,2164,1.519871,2.645181,19,0.618966,7-day click or 1-day view,4,actions:offsite_conversion.fb_pixel_view_content,13.4625,,6,60,46,21,11,6,6,2,274,,18,0.577683,1,1,1,,,1,1,,,,,
1/05/2022,31/05/2025,Traffic - All Shows 14 Feb 25,active,2198.06,3,732.686667,0.053388,117.35,117.35,Using ad set budget,0,205803,10.680408,87774,2.344692,4.992639,7334,0.213923,7-day click or 1-day view,3026,actions:landing_page_view,0.72639128,,4575,26252,16448,7833,4691,3401,3148,3,83133,,5556,3.563602,3026,,,,,4,4,,4,4,,
1/05/2022,31/05/2025,Retargetting - Roast Battle Sydney,completed,100,5,20,1.66,166,166,Using ad set budget,0,10064,9.936407,7396,1.360736,2.235692,88,0.444444,"1-day click, 1-day view, or 1-day engaged-view",5,actions:offsite_conversion.fb_pixel_purchase,20,,,,,,,,,0:00:00,,,77,0.874404,73,,,,,3,3,,3,3,,
1/05/2022,31/05/2025,MELB: Retargetting - All Shows 270325,inactive,1436.56,67,21.441194,2.920867,4196,4196,Using ad set budget,0,95425,15.054336,30448,3.134032,1.305737,645,1.152937,"1-day click, 1-day view, or 1-day engaged-view",67,actions:offsite_conversion.fb_pixel_purchase,21.44119403,,1610,7230,8975,3745,2214,1664,1601,3,28822,,570,0.675924,294,,,,,47,47,,51,51,,
1/05/2022,31/05/2025,MELB: Retargetting - BOTF + RORY,completed,1255.12,19,66.058947,0.983842,1234.84,1234.84,Using ad set budget,0,87179,14.397045,33588,2.59554,1.820393,768,0.790876,"1-day click, 1-day view, or 1-day engaged-view",19,actions:offsite_conversion.fb_pixel_purchase,66.05894737,,3098,8815,4026,2150,1497,1182,865,9,20383,,661,0.880946,416,,,,,16,16,,17,17,,
1/05/2022,31/05/2025,RORY LOWE TOUR - SALES,not_delivering,2264.03,,,,,,Using ad set budget,0,188125,12.034711,88037,2.136886,2.225648,2243,0.540728,Multiple attribution settings,,,,,12789,26247,11485,7498,5549,4483,3818,13,61746,,1901,1.192292,1588,,,,,,,,,,,
1/05/2022,31/05/2025,RORY LOWE TOUR - Traffic,active,1054.5,5,210.9,0.401802,423.7,423.7,Using ad set budget,0,173896,6.063969,80436,2.161918,10.196324,15320,0.059472,7-day click or 1-day view,12107,actions:landing_page_view,0.08709837,,28037,60751,28119,20245,16426,13863,12899,12,143457,,11516,8.809863,12107,,,,,,,,4,4,,
1/05/2022,31/05/2025,Rory Sydney Event Response Ads,inactive,20.76,,,,,,Using ad set budget,0,2287,9.077394,1458,1.568587,9.838216,11,0.092267,7-day click or 1-day view,17,actions:rsvp,1.22117647,,515,959,515,345,263,225,216,15,1920,,11,0.480979,,,,,,,,,,,,
1/05/2022,31/05/2025,New Traffic Campaign,not_delivering,0,,,,,,Using ad set budget,0,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,,,,
1/05/2022,31/05/2025,SUS: SCALE - 100% Broad,not_delivering,0,,,,,,20,Daily,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,,,,
1/05/2022,31/05/2025,RORY: Canberra Sales Campaign,active,314.43,6,52.405,1.428712,449.23,449.23,750,Lifetime,19803,15.877897,11973,1.653971,4.433672,449,0.358121,"7-day click, 1-day view, or 1-day engaged-view",6,actions:offsite_conversion.fb_pixel_purchase,52.405,,1663,6262,3700,1718,1059,746,629,6,16192,,373,2.267333,348,24,24,,,,,,24,24,,
1/05/2022,31/05/2025,RORY: Brisbane Sales Campaign,recently_completed,500,11,45.454545,1.4,700,700,500,Lifetime,34729,14.39719,19004,1.827457,3.357425,702,0.428816,"7-day click, 1-day view, or 1-day engaged-view",11,actions:offsite_conversion.fb_pixel_purchase,45.45454545,,6023,12806,6908,4824,3332,2688,2496,11,30407,,582,2.021365,331,,,,,,,,,,,
1/05/2022,31/05/2025,Retargetting - All Shows,inactive,2152.8,,,,,,7,Daily,155546,13.840279,56598,2.74826,1.161071,837,1.192027,Multiple attribution settings,,,,,6783,14344,31949,14356,9110,7067,6815,2,88807,,707,0.538104,413,,,,,,,,,,,
1/05/2022,31/05/2025,"Post: ""We have some incredible suprises for you this...""",inactive,9.93,,,,,,10,Lifetime,672,14.776786,654,1.027523,0.595238,,2.4825,7-day click or 1-day view,25,actions:post_engagement,0.3972,,,,,,,,,0:00:00,,,,,,,,,,,,,,,,
1/05/2022,31/05/2025,"Post: ""12 tickets left for this Wednesday's incredible...""",inactive,10,,,,,,10,Lifetime,749,13.351135,704,1.06392,4.539386,1,0.294118,7-day click or 1-day view,42,actions:post_engagement,0.23809524,,,,,,,,,0:00:00,,,1,0.133511,,,,,,,,,,,,
1/05/2022,31/05/2025,"Post: ""12 tickets left for this Wednesday's incredible..."" – REACH",inactive,10,,,,,,10,Lifetime,4073,2.455193,4073,1,0.049104,,5,7-day click or 1-day view,4073,reach,2.45519273,,,,,,,,,0:00:00,,,,,,,,,,,,,,,,
1/05/2022,31/05/2025,"Post: ""The best comedians, the best shows, the best fun,...""",inactive,9.99,,,,,,10,Lifetime,1182,8.451777,1105,1.069683,6.091371,1,0.13875,7-day click or 1-day view,58,actions:post_engagement,0.17224138,,,,,,,,,0:00:00,,,1,0.084602,,,,,,,,,,,,
1/05/2022,31/05/2025,Reach - All Shows,inactive,1594.04,8,199.255,0.195303,311.32,311.32,5,Daily,975599,1.633909,244766,3.985844,0.048996,237,3.334812,7-day click or 1-day view,244766,reach,6.51250582,,9009,25381,81406,25678,13523,9477,8963,1,469343,,232,0.024293,11,,,,,,,,7,7,,
1/05/2022,31/05/2025,"Post: ""This weekend at Kinselas""",inactive,10,,,,,,10,Lifetime,1019,9.813543,974,1.046201,7.654563,5,0.128205,7-day click or 1-day view,65,actions:post_engagement,0.15384615,,,,,,,,,0:00:00,,,5,0.490677,,,,,,,,,,,,
1/05/2022,31/05/2025,"Post: ""Harry's Comedy in Surry Hills this Monday is...""",inactive,10,,,,,,10,Lifetime,1313,7.616146,1212,1.083333,8.377761,2,0.090909,7-day click or 1-day view,85,actions:post_engagement,0.11764706,,,,,,,,,0:00:00,,,2,0.152323,,,,,,,,,,,,
1/05/2022,31/05/2025,"Post: ""You're in for an absolute treat if you're coming...""",inactive,6.61,,,,,,10,Lifetime,864,7.650463,826,1.046005,9.722222,27,0.07869,7-day click or 1-day view,27,actions:link_click,0.24481481,,,,,,,,,0:00:00,,,26,3.125,,,,,,,,,,,,
1/05/2022,31/05/2025,Event: Harry's Comedy - Mondays,inactive,9.96,,,,,,10,Lifetime,792,12.575758,621,1.275362,2.39899,3,0.524211,7-day click or 1-day view,,,,,,,,,,,,0:00:00,,,3,0.378788,,,,,,,,,,,,
1/05/2022,31/05/2025,Reach - All Shows – Weekly Blitz,inactive,849.87,3,283.29,0.178921,152.06,152.06,850,Lifetime,389530,2.181783,153194,2.542724,0.076502,138,2.851913,7-day click or 1-day view,153194,reach,5.54767158,,4080,10832,35090,11010,5961,4307,4088,1,255183,,137,0.035427,6,,,,,,,,3,3,,
1/05/2022,31/05/2025,Event: Dark Jokes Night (Halloween),inactive,20,,,,,,20,Lifetime,1275,15.686275,757,1.68428,4.705882,13,0.333333,7-day click or 1-day view,,,,,,,,,,,,0:00:00,,,13,1.019608,4,,,,,,,,,,,
1/05/2022,31/05/2025,Steph Video Views Awareness,inactive,49.84,,,,,,Using ad set budget,0,4592,10.853659,4505,1.019312,0.130662,2,8.306667,7-day click or 1-day view,469,video_thruplay_watched_actions,0.10626866,,469,2005,992,514,293,131,116,6,4385,,2,0.043554,,,,,,,,,,,,
1/05/2022,31/05/2025,Steph Link Click Campaign,inactive,105.56,,,,,,Using ad set budget,0,11728,9.000682,9413,1.245936,6.949181,534,0.129521,7-day click or 1-day view,534,actions:link_click,0.1976779,,1093,2826,1270,1005,837,757,719,7,8908,,494,4.553206,,,,,,,,,,,,
1/05/2022,31/05/2025,Gerry Melb 23 - Traffic,inactive,97.26,,,,,,Using ad set budget,0,10090,9.639247,7890,1.278834,6.650149,547,0.144948,7-day click or 1-day view,547,actions:link_click,0.17780622,,928,2577,932,755,670,486,333,8,7673,,517,5.421209,1,,,,,,,,,,,
1/05/2022,31/05/2025,Gerry Melb 23 - Reach,inactive,94.3,,,,,,Using ad set budget,0,18105,5.208506,17923,1.010155,0.23198,23,2.245238,7-day click or 1-day view,5025,video_thruplay_watched_actions,0.01876617,,5025,10807,5044,3670,2963,1501,899,15,17886,,23,0.127037,,,,,,,,,,,,
1/05/2022,31/05/2025,Retargetting - All Shows May23,inactive,2266.92,227,9.986432,1.859894,4216.23,4216.23,15,Daily,155117,14.614259,6923,22.406038,0.542816,429,2.692304,1-day click or 1-day view,227,actions:offsite_conversion.fb_pixel_purchase,9.98643172,,847,7422,5308,2149,1130,774,730,2,43905,,332,0.276565,233,151,151,,,,,,239,239,,
1/05/2022,31/05/2025,Traffic 1%Lookalike - All Shows May23,inactive,80.28,,,,,,7.55,Daily,9468,8.479087,6324,1.497154,4.076891,372,0.207979,7-day click or 1-day view,372,actions:link_click,0.21580645,,47,415,291,122,69,42,40,3,1028,,347,3.929024,77,,,,,,,,,,,
1/05/2022,31/05/2025,Day Of Boost 1% LL Traffic,inactive,170.63,,,,,,Using ad set budget,0,13550,12.59262,8682,1.5607,0.907749,77,1.387236,1-day click or 1-day view,,,,,94,820,601,224,124,85,83,2,3810,,73,0.568266,51,,,,,,,,2,2,,
1/05/2022,31/05/2025,Jarred Fell Conversion 2%,inactive,99.99,4,24.9975,1.379538,137.94,137.94,100,Lifetime,6201,16.124819,3192,1.942669,1.644896,58,0.980294,7-day click or 1-day view,4,actions:offsite_conversion.fb_pixel_purchase,24.9975,,281,1005,440,292,216,183,158,8,2204,,51,0.935333,31,3,3,,,,,,3,3,,
1/05/2022,31/05/2025,LPviews 1%Lookalike - All Shows May23,inactive,1146.52,,,,,,10,Daily,130217,8.804688,39131,3.32772,3.035702,3617,0.290038,7-day click or 1-day view,2017,actions:landing_page_view,0.56842836,,1695,5379,4059,2315,1778,435,420,5,12083,,2759,2.777671,2017,,,,,,,,,,,
1/05/2022,31/05/2025,Retargetting - Carousel Launch Advantage+ shopping campaign Campaign,archived,0,,,,,,Using ad set budget,0,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,,,,
1/05/2022,31/05/2025,LPviews 1%Lookalike - Carousel,inactive,50,1,50,0.54,27,27,50,Lifetime,4807,10.401498,3783,1.270685,2.225921,51,0.46729,7-day click or 1-day view,30,actions:landing_page_view,1.66666667,,132,777,523,224,145,46,41,3,2545,,48,1.060953,30,2,2,,,,,,2,2,,
1/05/2022,31/05/2025,Retargetting - Carousel Launch,inactive,100,1,100,,,,100,Lifetime,4690,21.321962,1245,3.767068,1.023454,11,2.083333,1-day click or 1-day view,1,actions:offsite_conversion.fb_pixel_purchase,100,,59,538,336,131,95,52,48,2,3202,,11,0.234542,6,3,3,,,,,,3,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,83077.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
